iter,acc,nmi,ari,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss
0,0.55743,0.60003,0.44498,0.6862555741755901,0.79475513187792,0.4481936021613543,0.464544998002211,35207,34793,0.0
140,0.53711,0.57624,0.3941,0.6780767931539241,0.7583843082048722,0.42658661097575123,0.4416926262124376,35524,34476,2.2685082120554787
280,0.5271,0.57038,0.38283,0.671674867595688,0.70261874514741,0.3630774740360511,0.33790640956804374,34870,35130,1.8104538704667772
420,0.58674,0.59136,0.42655,0.670397077204115,0.6990329278977133,0.34559599888858017,0.3480104666958022,52005,17995,1.2882258466311864
560,0.57454,0.58291,0.40781,0.5619285714285714,0.6159621797825922,0,0,51913,18087,1.2085269506488527
700,0.51941,0.60912,0.40534,0.5194142857142857,0.609115186860118,0,0,70000,0,0.5658939440335546
